country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
South Korea,2.24,2.29,2.15,2.06,2.18,2.34,2.27,2.35,2.53,2.63,2.83,3.01,3.14,3.3,3.45,3.75,4.02,4.15,4.28,4.23
Spain,0.789,0.78,0.851,0.841,0.885,0.89,0.96,1.02,1.04,1.1,1.17,1.24,1.31,1.35,1.35,1.33,1.29,1.26,1.23,1.22
Sri Lanka,0.184,,,,0.144,,,,0.182,,0.174,,0.114,,0.137,,,0.101,,
St. Lucia,,,0.766,0.364,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,0.0431,0.12,,,,,,,,,,,,,
Sudan,,,,0.53,0.473,0.447,0.395,0.34,0.296,0.298,,,,,,,,,,
Sweden,,3.32,,3.42,,3.91,,3.61,3.39,3.38,3.5,3.25,3.49,3.45,3.22,3.25,3.29,3.31,3.14,3.26
Switzerland,2.45,,,,2.33,,,,2.68,,,,2.73,,,,2.97,,,
Tajikistan,,,,,,0.0895,0.0707,0.0689,0.067,0.0957,0.107,0.0678,0.0698,0.0858,0.0891,0.121,0.114,0.118,0.115,0.109
Tanzania,,,,,,,,,,,,0.34,,,0.381,,,0.529,,
Thailand,0.119,0.102,,0.248,0.245,0.252,0.231,0.245,0.238,0.219,0.233,0.201,0.203,0.235,,0.362,,0.442,0.485,0.627
Togo,,,,,,,,,,,,,,,0.254,,0.224,,0.271,
Trinidad and Tobago,0.103,0.116,0.127,0.123,0.108,0.104,0.132,0.115,0.114,0.114,0.0723,0.0592,0.0308,0.0568,0.0478,0.0403,0.044,0.0586,0.0861,
Tunisia,,,,,,,0.543,0.65,0.731,0.712,0.677,0.666,0.639,0.706,0.69,0.709,0.682,0.671,0.655,0.632
Turkey,0.452,0.492,0.371,0.466,0.478,0.538,0.527,0.483,0.518,0.591,0.58,0.723,0.725,0.849,0.843,0.858,0.92,0.943,1.01,
Uganda,,,,,,,0.369,0.257,0.26,0.214,0.3,0.388,0.326,0.354,0.475,,,,,
Ukraine,,1.19,1.07,0.973,0.963,1.02,0.997,1.11,1.08,1.03,0.949,0.853,0.846,0.857,0.833,0.738,0.754,0.759,0.649,0.617
United Arab Emirates,,,,,,,,,,,,,,,,0.489,,,0.694,0.866
United Kingdom,1.61,1.56,1.58,1.66,1.64,1.63,1.64,1.6,1.56,1.57,1.59,1.63,1.64,1.7,1.68,1.68,1.61,1.66,1.68,1.7
United States,2.44,2.47,2.5,2.54,2.62,2.64,2.54,2.56,2.48,2.5,2.54,2.62,2.77,2.82,2.73,2.77,2.7,2.74,2.75,2.79
Uruguay,0.264,0.35,0.192,0.224,0.209,,0.238,,,,0.366,0.425,0.38,0.412,0.341,0.349,0.328,0.321,0.336,
Uzbekistan,,,,,0.36,0.345,0.294,0.268,0.27,0.238,0.224,0.217,0.193,0.203,0.195,0.195,0.202,0.196,0.198,0.214
Vietnam,,,,,,,0.178,,,,,,,,,0.19,,0.374,,
Zambia,0.011,0.00737,,,,,0.00544,0.00847,0.0222,0.0249,,,0.278,,,,,,,
